drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Oxycodone,Pain,"I am a 53 year old Mom with an 11 year old daughter. I suffer with lower back pain from L4 disc surgery in Sept '16 and fibromyalgia. Advil just does not touch the pain and it also triggers acid reflux. Hydrodone made me severely nauseous. Oxycodone is the ONLY pain medicine that gives me relief. It does not make me sleepy or cause acid reflux. I DO take a stool softener on an every other day basis to prevent constipation & that works. Previously I had been on it for 2 years prior to surgery for sciatic nerve pain. After surgery I had NO problem weaning off. If you wean slowly, 1/2 pill reduction at a time, it's not an issue. It has been a lifesaver for me.",10,10,Oxycodone provides life-changing pain relief without adverse effects.,positive
Nitrofurantoin,Urinary Tract Infection,"I was prescribed this medication 6 days ago. I am 8 weeks pregnant and I went in to the ER for hydration due to severe morning sickness. They always do a urine specimen on pregnant women. Discovered I had a trace of bacteria so he said he would go ahead and treat it. I'm allergic to sulfa drugs and cephlasporins. Usually I take amoxicillin. I was good for the first few days but now my nausea is almost unbearable also committing more, I'm tired and my back hurts. Only 4 more pills to take. I figured my morning sickness just peaked but after reading these reviews I'm not so sure but I do have nausea meds so I'll be taking those.",2,5,Effective for a short time but causing significant side effects.,negative
Paroxetine,Social Anxiety Disorde,"I grew up with anxiety but as I got older it turned in to social anxiety and really turned me into an ugly person... I started feeling super insecure about my appearance, had uncontrollable obsessive thoughts, weird fantasies, I believed I wasn't normal.... after getting sick of feeling so insecure and anxious, I know something was wrong with me. My doctor prescribed me 10mg of Paxil for the first 2 weeks, and 20mg after. I'm now 4 months and a few days in, and I'm starting to feel much more calmer, my attitude towards life is positive!!I'm starting to talk more in class and it's gradually getting better. The first 2 months where hell",8,8,Effective for social anxiety with gradual improvement.,positive
Hyaluronan,Osteoarthritis,"While doing a twist in Zumba in January I felt a pop and terrible pain in my knee. I was in great pain when walking, for a month, with a knee I have never had a problem with. When I went to the orthopedic Dr he told me I was bone on bone and a candidate for knee surgery. I am 68 yrs old, very active and have never been overweight, I was shocked at the diagnosis. Cortisone gave me no relief. Starting in March I had one injection for 4 weeks, with minimal relief. A month after the last shot (middle of May) I got out of bed with 90% relief and a bit more improvement for 5 to 6 days. It is now 5 months and I am almost pain free! I will have this again when it wears off.",10,8,Effective knee pain relief with minimal side effects.,positive
Psyllium,Dietary Fiber Supplementation,The new Metamucil made me gain weight i think because of the sugar. My appetite didn't change. The old Metamucil worked for me .,2,3,Weight gain with no appetite change.,negative
Quetiapine,Bipolar Disorde,"I was diagnosed with BiPolar Disorder 1 about 8 months ago. My doctor put me on Seroquel 100mg. I do have to take it at night due to the drowsiness it causes. It has made a dramatic change in the racing thoughts and negative self-image I felt. I've also had a marked change in my insomnia. I was misdiagnosed for a number of years, and couldn't understand why the other meds didn't make a difference. I wake up feeling rested. I did have some vivid dreams when I first began taking it. I also get the munchies, but they have subsided considerably in the last month or two, and have dropped almost 20 pounds. This is magical as far as I'm concerned! As well as the Seroquel, I also take 20 mg of Lexapro and 600 mg of Neurontin every night. Thanks!!",9,8,Effective for managing bipolar disorder symptoms with side effects.,positive
Seasonique,Abnormal Uterine Bleeding,"I started taking these pills January 12,2017 bc I didn't won't to deal with having a period anymore...the worst mistake do not take! My hormones are jacked up. I'm am very moody my appetite is crazy I have gain 10 pounds and also I been bleeding for 3 weeks straight. My Dr told me to continue to take but I will not take this med - he even tried change the dosage and give me some menopause meds. I said I'm not taking any of that meds it had me so messed up bad. I'm am bleeding so much from my uterus. They are recommending that I have Nova Sure surgery done. I will keep u post but beware this birth control is not good at all these. reviews are truth.",1,1,Severe side effects and risks outweigh benefits.,negative
Sofosbuvir,Hepatitis C,"I've been on a Sovaldi, Interferon, and Ribiviran treatment for 5 weeks. My doctor says my viral load is ZERO! I still need to take it for 7 more weeks but I am EXTREMLY happy! Yes, I am wiped out, I can't work, but the reward is HUGE!",10,8,Complete viral load clearance with severe side effects.,positive
Carbamazepine,Bipolar Disorde,This has worked better than any other medicine I have used to treat mania. I only had slight fatigue when starting the medicine but it disappeared after a few weeks.,9,8,Effective treatment for mania with mild initial fatigue.,positive
Nortriptyline,Migraine Prevention,"After being diagnosed with vestibular migraines about a year ago, I resisted taking any medications. The dizziness and feeling unwell caused depression as I was afraid to go anywhere and get a major dizzy spell that would make me also have symptoms of a stroke ( numb face and arm and difficulty speaking.) I started taking Nortrypraline and stopped after a few days as I was so tired and felt nauseated. My doctor told me to give it a go for a solid month and I'm so glad that I did. After about three weeks I started feeling so much better. Less episodes and when they came on, they were very mild. I'm only taking 10mg but plan to increase to 20 to see if even more benefits are seen once I get the ok from my doctor.",9,8,Effective for preventing migraines with minor initial side effects.,positive
Desvenlafaxine,Depression,"I am a 47 yo male who has been on 100mg of Pristiq for 2 years. First on 50mg then increased. I found I was sleepy for the first few months but nothing compared to the original symptoms like depression, anxiety etc. My only concern is the withdrawal effects. On one occasion, I went to Pharmacy on Saturday and they advised I needed a new script. I had to wait until Monday to get a script and they were the two worst days in my life....the withdrawal was chaotic, I argued with the chemist in a rage....never done this before...I called them an hour later sobbing and apologising for my behavior, I had awful flashes in my eyes and headaches that made a migraine feel like party.....I was frantic at the doctor on the Monday morning",7,1,Severe withdrawal effects after discontinuation.,negative
Suprep Bowel Prep Kit,Bowel Preparation,"The prep worked very well, the taste was horrid, and hard to keep down, after the AM dose at 5, I was still going at 7:30 and had to wear a depends to get to the Hospital, I had burns in my mouth, and although I used lots of A&D, my backside was scalded, With in a week of using this, I developed Psoriasis all over my body, I have been treated now for several months, which is expensive, Doctors claim that it couldn't be because of the Prep, although I have found two other senior women that have had the same results, I think this Prep is expensive and dangerous, Don't do it!!",1,1,Severe side effects and high cost make this dangerous.,negative
Magnesium oxide,Constipation,This supplement has really helped with my severe constipation. I stopped taking it and the constipation returned. I must take it with food or it will upset my stomach.,10,8,"Helpful constipation treatment, needs food for efficacy.",positive
Lexapro,Depression,Works wonders!!,10,10,Life-changing depression relief.,positive
Tinidazole,Bacterial Vaginitis,"I'm the type of person to read reviews and overthink and worry about mediciatons so I had to leave a review about this. I was soooooo scared to try this I had the worst anxiety and come to find out, I had little to none side effects. I took the pills every 4 hours instead of all four at the same time. Every time I took it I had food before so I think that's what helped me not have side effects. I just knew I was going to get side effects because I has HORRIBLE side effects from Metrodidazole. Only side effects was a little light headness/tiredness and the weird taste in my mouth. They were very mild.",7,8,Effective treatment with minor side effects.,positive
Gabapentin,Peripheral Neuropathy,Ronlngbch#1 thank you for your article ; I have had minor l5 budge for 20 years with minor numbness in right thigh three week ago I started getting the worst shooting pain in the middle of night and standing up if I sit in same spot for 15 minuet's the intense pain would last 15 seconds to a minuet but the only way I can describe it is my muscle being ripped off the bone.(WORST PAIN OF MY LIFE) Dr. started me at 300 mg 3 times a day on day two already feel better I didn't even wake up last night. I was hoping it worked fast on some one else too so I know its not just a placebo effect . insurance was making me do a whole song & dance to get Lyrical I called Dr. office & he faxed in the gabapentin,9,8,Effective pain relief within two days.,positive
Victoza,"Diabetes, Type 2","I changed doctors. The one I was going to did nothing for me no matter what we tried. I'm a 64 year old male who was diagnosed with Type 2 Diabetes about 4 years ago. Started seeing my new Endocrinologist July 20th, 2011. First thing he did was stop me from taking Actos. Second thing he did was put me on a Testosterone Gel, and the most important thing, had me start Victoza. My headaches, and upset stomach were minor, and ended about 10 days after starting. I'm about 5'4"" tall, weighed 280 pounds. Since then I've lost 70 pounds. Went from a size 48 waist slacks, and jeans, down to 38's. Most importantly I went from having sugar levels in the 350's 400's to 120's, 110's, even at times mid 90's. The doctor and this medicine have saved my life.",10,10,Life-saving medication for diabetes management and weight loss.,positive
Amphetamine / dextroamphetamine,ADHD,"I have Bipolar disorder and have ADD (not ADHD) for which I was on Ritalin (methylphenidate). My doctor switched me to Adderall because my concentration seemed to be waning again, but I don't believe it is working as well. Concentration is about the same, but it seems I am experiencing a lot more anxiety now than I did with the Ritalin.",5,3,"No clear benefit, increased anxiety.",negative
Phentermine,Weight Loss,"Started diet on 4/12 (236.8 lbs) using my fitness pal app 1200 calorie diet. Lost 8.3 in 7 days. Began Pentermine on 4/21 (228.8lbs) today is 5/5 and I'm down 14lbs from Phentermine 22.5 lbs total since 4/12. Goal weight is 175lbs. Last seven days I lost 4.4lbs so the weight loss slows down after the first weeks. I've been running 3 miles every other day and workout 3-4x a week. Drink plenty of water. Goal weight 175lbs. I'm on a 600 cal a day diet and I rarely go beyond 450 calories. No side effects, I take weekly pics, huge difference even over the last 7 days, I look 10 years younger already. I'm 45.",10,8,Effective weight loss with no side effects.,positive
Klonopin,Panic Disorde,"After trying gobs of anti-depressants, Xanax and the like, Klonopin along with both Effexor and Inderal has obliterated ANY and ALL anxiety and disabling symptoms plaguing my life for YEARS. I am so happy to have found a sympathetic physician who listens to my strife and actually cares about my welfare as a patient. This combination has made me a NEW person with SO MANY opportunities in life. This medicine has been a lifesaver and so very happy I'm finally squared with my emotional and anxiety-ridden baggage. Not a SINGLE panic attack or anxiety attack since starting Klonopin. It's really a God send after so many years of struggling and would recommend to anyone a frank discussion with his/her physician for at least a trial.",10,10,Life-saving medication for severe anxiety and panic disorder.,positive
Embeda,Pain,"Not impressed. I was on Embeda, but found it had absolutely no effect on me whatsoever for my pain. I have a back injury that I have had for years, and I am in chronic pain. While on Embeda, there was NO relief, except that it would put me to sleep from the drowsiness that it causes.",3,1,Ineffective pain medication with only sedative effect.,negative
Diclofenac,Sciatica,"I have tried a lot of different NSAIDs and this is a miracle. I moved back up north where weather is colder, causing my sciatica to flare up more often. Been on this 6 months and so glad I am.",10,10,Miracle drug for chronic sciatica relief.,positive
Testosterone,"Hypogonadism, Male","I'm 56 had little energy, slept a lot and gained a good deal of weight. I have felt really good since I started Axiron. The change was immediate and dramatic. I look forward to taking it. My levels were very low and after two weeks of using Axiron the test showed the level was higher and the doctor was pleased. I feel a libido again and I have a lot more energy. My appetite is way down too, not sure that's an effect. When I use the applicator I hold it in one place against the skin for a few seconds before I move it around, then I slowly move it while pushing it in and out a little. Don't let it come off the skin and it now runs down my body rarely. Hopefully it keeps working. I like it a lot.",10,10,Life-changing testosterone replacement therapy with no side effects.,positive
Ethinyl estradiol / etonogestrel,Birth Control,"I have been on the Nuvaring for a month now. The only issue I have with it, is that I have had light bleeding in between but no pain. I can't feel it and when I had sex with my Boyfriend he said he liked the feeling of it. I don't really care for taking it out and putting it back in, but it is so much better than remembering to take a pill everyday. I have had a few mood swings but most women have them.",8,8,Effective birth control with minor side effects.,positive
Atomoxetine,ADHD,"Medicine information says ""watch for changes in mood or behavior"". My experience with my girlfriend is that this is a dangerous drug for people with mania.",1,1,Dangerous drug for those with mania.,negative
Mometasone,Allergic Rhinitis,I have had problems with Sinus headaches for most of my adult life. Nasonex seems to be helping relieve the headaches. I love it.,9,8,Effective for sinus headache relief.,positive
Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate,Urinary Tract Infection,"I LOVE THIS MEDICINE. I have chronic end stage Interstitial Cystitis. I've had it bad for 24 years and NOTHING worked but the URIBEL. I have taken Urelle and Utira-C and none of them worked. But this one takes away my bladder pressure & pain. I can immediately tell when it wears off. I am taking every 6 hours (4 times per day). I have Medicare and it doesn't cover it, but the relief from pain is well worth it.",10,10,Effective pain relief for chronic IC.,positive
Loestrin 24 Fe,Birth Control,I've been on this pill for about 7 months and I love it! I did have some spotting but it was because I wasn't taking the pill at the same time everyday. No symptoms. No side effects. Works great for me!,10,8,Effective birth control with minor spotting issues.,positive
Cymbalta,Depression,I want to warn you about watching what you drink and other medicines you take. It turns out that even a little alcohol (3 drinks a month) and Motrin (6 pills taken over one week) will hurt your liver while on Cymbalta. I found this out through a routine blood test.,4,1,Severe liver damage from alcohol and Motrin interaction.,negative
Gabapentin,Pain,"Gabapentin eliminated almost all the pain I have had for eight years due to a staph infection from heart surgery. However, after a few days I developed an irregular heartbeat and had to quit taking it. I called my Doctor who said the gabapentin could not cause the irregular heartbeat, so I started taking it again. It worked wonders for the pain, but after a few days the irregular heartbeat reappears. I would love to be able to take gabapentin because it is a great pain reliever but I can't deal with the irregular heartbeat.",7,5,Effective pain relief with serious heart rhythm issues.,negative
Phentermine,Weight Loss,"I was a hard core Atkins dieter in my early 20's, lost a tremendous amount of weight, and kept it off for 5 years. I then got pregnant, stopped eating healthy and gained everything back and then some. Now I'm in my 30's with my highest weight being 218. I started back on the Atkins and started exercising but my weight was not coming off like it did when I was in my 20's. My doctor prescribed phentermine and I've lost a pound every day, I'm finally out of the 200's and down to 198 today (never thought I'd see the day). I have had dry mouth occasionally with no other side effect. I've been exercising and eating low carb and feel great. I hope to be 135 someday.",10,8,Effective weight loss with minor dry mouth.,positive
Luvox,Obsessive Compulsive Disorde,"I was first put on this med in 1995 to deal with my OCD which manifests itself in compulsive negative thought and inability to overcome negativity, as well as occasional wishing I would die and suicidal thoughts (never acted upon). Due to frequent professionally-caused moves around the world, periodically Luvox was unavailable to me, so I was placed on alternatives such as Zoloft and others, all of which had heavy side effects. The best thing for me about Luvox was my ability to cope, no sexual side effects, and also the ability to still feel, all of which other drugs (especially Zoloft) prevented, leaving me feeling like a zombie. Luvox let me be me without my OCD and generally with it, I am a happier, more positive and creative person.",10,8,Effective OCD treatment with no sexual side effects.,positive
Hydromorphone,Chronic Pain,"Was diagnosed with three degenerative discs that have now compressed on top of each other at L-3, 4 & 5, creating horribly pinched nerves. Started off with Vicodin, which helped for awhile. In 2006 was switched to Dilaudid 2mg, then 4mg, currently taking 8mg/ 4 times daily. Wow, what a great pain killer! With the Vicodin, it dulled the pain but with the dilaudid, it's completely gone. Makes living life enjoyable again. It's great not to be in constant pain anymore!",10,8,"Effective pain management, greatly improves daily living.",positive
Belbuca,Chronic Pain,"I was nervous at first reading some of the negative reviews and I talked with my doctor about it a while before I switched. I went back and told him it wasn't enough and he told me that was just the ""starting dose"" and we'll go up each week until we get to the right dose for me. I was skeptical to say the least but holy cow he was right! At 750 I can't believe the difference. This drug is incredible!",10,10,Incredible pain relief with effective starting dose.,positive
Nitrofurantoin,Urinary Tract Infection,Well so far I have taken 4 and still in pain when I pee I am also taking flucloxacillin 500mg so fingers crossed the 2 will work and I will be pain free. Oh I am also drinking lots of cranberry juice.,5,3,Persistent UTI symptoms with no relief.,negative
Miconazole,Vaginal Yeast Infection,"Yup, I've never had this happen to me after taking yeast infection medicine but like many others here, my vagina is on fire. I am miserable. It does seem like this could be a bad batch as many other women seem to have had a similar experience.",1,2,Severe irritation with potential batch problems.,negative
Tioconazole,Vaginal Yeast Infection,"So was on day 2 of a yeast infection and had the hubby pick up monistat. I usually do the 3 or 7 day treatment, but he picked up the one day, his thought, faster healing. I was raw from itching to begin with and yes it burnt a little when I put the pre filled cream in, for an hour or 2, but not unbearable. The next day I was sore from the rawness, but the itchiness was gone.",8,8,Effective one-day treatment with mild irritation.,positive
Venlafaxine,Bipolar Disorde,"Brilliant medication. I know Venlafaxine is contraindicated in people who experience mania and I have had some issues with that but overall, with other medications that stabilise my mood, I have found Venlafaxine to be a life saver. I am 23, been hospitalised before for a long time and it was the first med I agreed to go back on after a period of desperation following a year of refusal to take meds due to extreme anti-psychiatry views. Now my anxiety is massively decreased, I feel much more on a level, less irritable, far less lethargic. This medication has done so much for me. No side effects apart from the initial week or two of starting it I got some insomnia and occasionally I get a very dry mouth. Sometimes a bad tremor.",10,10,Life-saving medication for bipolar disorder with minor initial side effects.,positive
Testosterone,"Hypogonadism, Male",".. did booster my T to 800 , but not a genuine feeling from it. it sort of elevating aggression impacted areas, aggressive sex, aggressive mood , aggression in the morning, aggressive dreams aggressive energy. It is not relaxing me it is elevation anxiety level. I am taking shots for first 3 days after each shot are terrible moody aggression. I say it is not for me..",1,2,Aggressive mood and anxiety with no relaxation.,negative
Mirena,Birth Control,"I'm 40 years old with two teenaged children. I was tired of taking a birth control pill daily, and had trouble remembering to take it sometimes. I had the Mirena inserted last month, and it was a painless procedure. I had some minor cramping for the first day or two, but no bleeding. I did not get my period this month and I'm hoping I don't get one ever again! I highly recommend Mirena.",10,10,"Effective, painless, no bleeding, and highly recommended.",positive
Jolivette,Birth Control,My first period on it was heavier than normal. After that I was spotting for several days which I have never experienced. This past month I have either been bleeding or spotting and its incredibly frustrating! Lots of random cramps as well. My mood has been up and down which is also frustrating.,2,5,Severe menstrual issues and mood fluctuations.,negative
Isoniazid,"Tuberculosis, Latent","I've been on the isoniazid for almost one month and I'm not sure I will be able to continue. I'm experiencing bad headaches nearly every day. Before going on the drug, I took Tylenol every 6 hours for arthritis pain. Now I have had to stop the tylenol. I have Crohn's disease so I can't take any NSAIDS. That leaves me no options for my headaches. Not sure I can deal with this for 9months. After one week my liver enzymes have already increased by 7. Pretty stressed out about this whole thing. I tested positive for latent TB when waiting to start Humira for my Rheumatoid Arthritis. Now I can't take anything for my pain until I'm treated for the TB for 9months. Life sucks.",5,1,Severe side effects prevent continued use.,negative
Acamprosate,Alcohol Dependence,It works.,9,8,Effective treatment for alcohol dependence.,positive
Tioconazole,Vaginal Yeast Infection,"My yeast infection this time was not as bad as the first one I had; just some mild itching and being uncomfortable. I didn't want to go to the doctor so took this medicine at about 7:30 PM last night and laid down immediately after. I felt normal for the most part. At about 9:45 PM I got up to get some water and noticed an extreme itching feeling that was way worse than the yeast infection. The extreme itching lasted for about 15 minutes and was replaced with a burning feeling. The burning was not as bad as people are making it out to be. I have a very high pain tolerance and yes, the medicine burned but not to the point where I couldn't fall asleep or burst out into tears. It still burns a bit this morning but no itching!",5,5,"Effective for mild yeast infection, temporary worsening of symptoms.",negative
Nizatidine,GERD,usually works well relatively inexpensive. not as effective for me as ppis but probably safer,8,5,"Moderate GERD relief, considered safer than PPIs.",positive
Lidocaine,Local Anesthesia,"I sprayed it on the irritation which had hurt like a son of gun, and it immediately stopped hurting.",10,10,Effective local anesthetic providing instant pain relief.,positive
Lorazepam,Anxiety,"I was on Ativan for Generalized Anxiety Disorder with Panic Disorder. It worked okay, however once I started seeing a specialist, I changed to Klonopin. I find that Klonopin is much more consistent, meaning I don't feel it kick in and wear off like I did the Ativan, this apparently is due to its longer half-life. I did find out the hard way, that these are abused by some people, so don't leave them accessible in any way. I had mine stolen once, bad experience!",5,8,Effective anxiety medication with longer half-life. Caution advised due to,positive
Meloxicam,Osteoarthritis,"I have arthritis in my left leg due to an injury. I am on Neurontin for the nerve pain and was originally prescribed piroxicam for the associated arthritis pain. It made me terribly ill, couldn't keep anything down, and we switched to meloxicam. The side effects vanished and the pain relief was wonderful. This medication helps get me through my days.",9,8,Effective arthritis pain relief with no major side effects.,positive
Prepopik,Bowel Preparation,I am doing the prepopik for the first time. I've done the golitely and the miralax/Gatorade preps in the past. The prepopik is tolerable. It's only 5oz 2x so it's not too difficult. I started feeling it work within the first half hour of taking the first dose. My stool was clear a couple hours later. I took my 2nd dose 6 hours later as directed. It felt like I was pooping fire. It was HORRIBLE take your breath away burning. I did remain clear yellow though. The biggest struggle for me was drinking the at least 24oz after the second dose. I couldn't take in anymore liquid. My stomach was a mess. I had mild cramping tons of gurgling and a very uncomfortable digestion feeling. This prep wasn't worse than any of the others.,7,5,Tolerable but uncomfortable bowel preparation.,negative
Propranolol,Panic Disorde,"Propranolol does help a bit with panic attacks, but not all that much. It does not have too many discernible side effects besides some dizziness.",5,5,Some help for panic attacks with minor side effects.,negative
Flecainide,Atrial Fibrillation,"I've been taking 50mg of flecainide twice a day for 2 years now and still love it. I have had no incidences of afib and no side effects. I do like my alcohol and have 1-2 drinks daily. I believe the flecainide keeps me from having an alcohol related episode which my doctor believes is my trigger. I agree with him but also think dehydration, dieting and stress have been contributing factors as well, and again, the flecainide overrides them all. I'm sure it's not perfect for everyone, but for me it's been a godsend.",10,10,Effective for preventing AFib with no side effects.,positive
Contrave,Obesity,"So I went back and forth about starting contrave, weighting 275 and nothing was really working for anytime long term, I decided to try. I started in May and its now August, Im currently 245. Its been quite sometime since I've been here. All that said, I will say the first week sucked....I was nauseated, stomach cramps, felt like crap. Every day I debated with myself if I was going to continue taking it but I wanted to try, even though i felt bad. I'd say for the first month I wasnt hungry and I couldnt finish all of whatever i put on my plate. I didn't have desire for sweets or fried anything. Now, those cravings have slowly came back, but I'm still eating smaller portions.Keep an eye on your bl pressure and don't drink alcohol.",8,7,Effective for weight loss with initial side effects.,positive
Metronidazole,Bacterial Vaginitis,I didn't have any of these symptoms my appetite has increased if anything I drank plenty water the smell and discharge has finally went away I took four pills a day but were only suppose to take two I was informed not to drink alcohol while on the antibiotic but I drink a lot and wanted to finish it fast also had a yeast infection on top of having BV so immediately after I'm done taking the antibiotics I have to take a yeast infection pill all this came from douching. NEVER DOUCHE & NEVER use scented soaps on your private area the smell and discharge is horrible and it would smell fishy when I was fresh out the shower,10,7,Effective against BV with side effects from misuse.,negative
Ziprasidone,Schizophrenia,"My doctor changed my drug regimen from abilify to Geodon(120 mg Then I started experiencing trouble swallowing and headaches. These effects were transient so the doctor asked me to stay on the drug. The condition became worse and I went to an ear, throat, nose doctor. They indicated that I was suffering from GERD and inflammation of the larynx. After a few more weeks I was becoming paranoid and experiencing OCD symtoms. My husband called the doctor and demanded she shift back to abilify. A couple days later all the aforementioned symtoms disappeared. I am sure the drug works for many people but please pay close attention to the side effects I described",1,2,Severe side effects requiring switch back to previous medication.,negative
Vyvanse,ADHD,Awesome care for my child,10,8,Effective treatment for ADHD with good patient satisfaction.,positive
Ditropan,Overactive Bladde,"I have been using the tablets for about twenty years, they are having less and less efficacy, I decided to try the patch, I has no effect at all.",4,2,Efficacy wanes with prolonged use and patch ineffective.,negative
Triamcinolone,Allergic Rhinitis,Please folks do not use Nasocort nasal spray. Long term use caused me to develop cataract in both my eyes - I'm only 39 yrs old. My eye doctor has reported an increase in cataracts in younger patients from these terrible chemicals. Please think twice before using!!,1,1,Severe cataract risk with long-term use.,negative
Klonopin,Panic Disorde,"I have had severe panic attacks since high school. I can not be in or on anything that moves. I have been on 4mg Klonopin a day for almost a year and I still have 2-3 panic attacks a day plus it has made me extremely irritable, agitated, angry, aggressive and depressed. I have been on every benzodiazepine, tricyclic, SNRI's and most SSRI's, always in combination 2 or 3 at the same time. Some worked for a short time, some not at all. The best combination was Xanax, Zoloft and Imipramine for five years then it quit working. I've even tried cognitive behavioral therapy with no luck. The only thing I've not tried is Paxil and Prozac. I have a doctor's appointment next month to discuss other medicines. Maybe I need a new doctor.",6,2,Severe panic attacks persist with significant side effects.,negative
Norco,Pain,"Upset stomach most of the time, minimal pain control, just not effective for me.",6,2,Minimal pain relief with severe upset stomach.,negative
Drysol,Hyperhidrosis,"OMG drysol is perfect. I've been dealing with sweat problems since 7th grade, it's so embarrassing to raise my arm. It's very discomforting when my armpits are wet but now with drysol I feel so much better I am so happy ... Only thing I'm a little mad about though is WHY DIDNT I FIND THIS SOONER!! Lol ..it's perfect .",10,10,Perfect solution for severe hyperhidrosis.,positive
Mirtazapine,Depression,"Took about a week to get over the side effects - still get some morning grogginess, but a strong coffee and ten minutes of mindful meditation or exercise sorts that out completely. Unlike others who have left reviews I'm only on 15mg - but the effect has still been amazing. I've had problems with depression and anxiety since I was 16 and had tried a couple of SSRI's that didn't help. Prior to taking it I had been having issues with sleep, trying to adjust without an alcohol and cannabis dependency. Mirtazapine certainly helped with sleep, though it still took a while to nod off, when I did I would sleep for hours and better than I have in years. By sorting out my sleep, managing my depression became a possibility - it's changed my life.",8,8,Effective for depression and sleep with minor side effects.,positive
Varenicline,Smoking Cessation,"I am 52 and have smoked since I was 16. I gave up with patches 7 years ago for 3 years .. Then started again I have tried patches again, and Hypnosis, but nothing worked so I tried champix, a couple of people at work had tried and failed with it last year but one lady I know tried it 4 years ago and is still not smoking , I have taken 14 tablets now and not smoked for 3 days which is amazing for me! But the side effects have been ( and have now stopped) horrible. I spent all weekend in bed under the quilt feeling sick , giddy and spaced out, I have been constipated for two weeks ( ok now) head aches . Tired can't drink wine or coffee! ( not realy a bad thing!)but I am loving the dreams ! its working so it's worth it!",9,5,Partial success with severe side effects.,negative
Gianvi,Acne,"Throughout puberty I had always had mild blemishes. Usually nothing too serious, occasinally cysts around the time of my menstural cycle. However, I've always been very self conscious about my skin and I wanted a fix once and for all. I visited the dermatologist and was prescribes topical medications but they didn't really do anything for the hormonal cysts. So finally I went on gianvi and I am so glad I did. There was an inital breakout and it was terrible but after 4 or 5 months there was evidently a drastic change. I no longer get any blemishes or cysts of any sorts. I am a bit more emotional than I previously was but the clarity and overrall radiance of my skin is definitely worth it.",10,8,Effective for hormonal cysts; initial breakouts but overall positive impact.,positive
Plan B One-Step,Emergency Contraception,"Just for you people who do not believe this works or is having second thoughts. I have taken this pill twice. One was back in April and one was last month. The pill worked both times. The first time I took it, My body reacted by having me bleed for about a week before my period and my period was regular. The second time there was no blood and I got my period 2 days earlier than usual. This pill has helped me a lot and now I'm now about to buy another pill and so hopefully it works again ! Wish me luck !",10,8,Effective emergency contraception with regular periods.,positive
Blisovi 24 Fe,Birth Control,"I recently posted a review on this pill 3 months ago when I fist started and thought it was great. I WAS WRONG! I had to update because I could not in good conscience let anyone think this pill is anything but terrible. My fist month went great, no side effects at all. The second month I noticed my stomach was not right. Turns out this pill destroys the good bacteria in your gut. Probiotics are a must! I noticed I started to gain a little weight and developed slight eczema on my face which still comes and goes 2 months later. Beware taking this pill.",1,1,Severe side effects; avoid at all costs.,negative
Fluconazole,Vaginal Yeast Infection,I took this pill on Friday it is now Sunday and I'm still having all symptoms. It has not done anything for me. I have another refill for it I will get today and if it does not help I will be going back to get something else. This is my first yeast infection and they are nasty little demons.,1,1,Complete treatment failure for vaginal yeast infection.,negative
Azathioprine,Ulcerative Colitis,"Have been on Azathioprine for about 4 years after asacol quit working. Started with 4 pills per day for first month then cut back to 2 pills which have worked fine, but I now have been experiencing bruising on my hands mostly. Will cut back to 1 pill per day until my next blood-work.",10,5,Effective for UC but with minor bruising side effect.,negative
Topiramate,Migraine Prevention,"I've been on this medication for a few months. Prescribed by neurologist for my chronic migraines. I tapered on slowly and now take 50mg am and pm. I usually got at least a few migraines a month..with aura. I've had them my whole life. Some worse than others, some so bad I could've gone to the hospital. Since I've been on the meds I have not had one migraine with aura. Just a few headaches could maybe be considered very mild migraines. A huge improvement. I've also lost 25lbs. I have noticed I've been a little forgetful and have had some brain farts at work. The medication has given me really bad acid reflux that I'm still struggling with and it's apparently pretty rare. Otherwise it's been ok for me.",10,7,Effective for migraines with some side effects.,positive
Fenofibrate,Hypertriglyceridemia,"I was prescribed this medicine to address high triglyceride and low HDL levels. In eight months of using fenofibrate and adjusting my diet, my total cholesterol went down 30%, my LDL went from 106 to 80, HDL went from 33 to 44, and my triglyceride numbers plummeted over 75% from 300 to 70. The side effect I experienced was a weight gain of 10 pounds within the first month and it stayed at that level for the eight month period. I did not experience any other side effect. Cost of medication with insurance is $15 a month.",10,8,Effective triglyceride reduction with minor weight gain.,positive
Isotretinoin,Acne,"I am a 21 year old female and cannot express how happy I am to have used Accutane! I have recommended it to so many people and would say it is totally worth it. I was on it for 7 months with monthly visits to the doctor for blood work and labs and follow ups that are required but every monthly visit was totally worth it, I have clear skin and it even shrunk my pores and I don't have oily skin anymore. This has given me so much confidence. The side effects sound scary but I only noticed dry lips from the decrease in oil production and dry scalp for the first couple days. Your body adjusts. If you are thinking about this, do it. You won't regret it.",8,8,Effective acne treatment with minor side effects.,positive
